iter	Passed	Remaining
0	1	105
1	1	90
2	2	84
3	3	78
4	4	76
5	4	74
6	5	72
7	6	75
8	7	74
9	8	73
10	8	71
11	9	70
12	10	69
13	11	69
14	11	67
15	12	66
16	13	66
17	14	65
18	15	64
19	15	63
20	16	63
21	17	62
22	18	61
23	19	60
24	20	60
25	21	60
26	22	59
27	22	58
28	23	58
29	24	57
30	25	56
31	26	55
32	26	54
33	27	54
34	28	53
35	29	52
36	30	51
37	31	50
38	31	49
39	32	49
40	33	48
41	33	46
42	34	46
43	35	45
44	36	44
45	37	44
46	38	43
47	39	42
48	40	41
49	40	40
50	41	39
51	42	39
52	43	38
53	44	37
54	44	36
55	45	35
56	46	34
57	46	33
58	47	33
59	48	32
60	49	31
61	50	30
62	51	30
63	52	29
64	53	28
65	53	27
66	54	26
67	55	26
68	56	25
69	57	24
70	57	23
71	58	22
72	59	21
73	60	21
74	61	20
75	61	19
76	62	18
77	63	17
78	64	17
79	65	16
80	66	15
81	66	14
82	67	13
83	68	13
84	69	12
85	70	11
86	70	10
87	71	9
88	72	8
89	73	8
90	74	7
91	74	6
92	75	5
93	76	4
94	77	4
95	78	3
96	78	2
97	79	1
98	80	0
99	81	0
