iter	Passed	Remaining
0	148	147999
1	149	74532
2	150	50031
3	151	37749
4	153	30512
5	154	25590
6	155	22071
7	156	19423
8	157	17391
9	159	15757
10	160	14406
11	161	13283
12	162	12336
13	163	11529
14	164	10820
15	165	10198
16	166	9649
17	167	9162
18	168	8723
19	169	8327
20	170	7971
21	172	7667
22	173	7376
23	174	7105
24	175	6854
25	176	6626
26	177	6412
27	178	6211
28	179	6024
29	180	5850
30	181	5686
31	182	5532
32	183	5389
33	185	5256
34	186	5136
35	187	5019
36	188	4908
37	189	4801
38	190	4699
39	191	4601
40	192	4508
41	193	4424
42	195	4341
43	196	4259
44	197	4185
45	198	4111
46	199	4048
47	201	3992
48	202	3929
49	203	3867
50	204	3807
51	205	3749
52	206	3692
53	207	3637
54	208	3586
55	209	3537
56	210	3489
57	211	3441
58	212	3395
59	214	3356
60	215	3315
61	216	3278
62	217	3239
63	218	3201
64	219	3163
65	220	3126
66	221	3089
67	222	3054
68	223	3021
69	224	2989
70	225	2956
71	226	2925
72	227	2894
73	229	2866
74	230	2837
75	231	2810
76	232	2782
77	233	2755
78	234	2728
79	234	2702
80	236	2677
81	237	2653
82	237	2624
83	238	2601
84	239	2578
85	240	2557
86	241	2535
87	242	2515
88	243	2495
89	245	2477
90	246	2458
91	247	2439
92	248	2420
93	249	2401
94	250	2383
95	251	2365
96	252	2353
97	254	2342
98	256	2332
99	257	2318
100	258	2303
101	259	2286
102	260	2270
103	261	2254
104	262	2239
105	263	2223
106	264	2210
107	266	2199
108	267	2185
109	268	2171
110	269	2157
111	270	2143
112	271	2131
113	273	2122
114	274	2111
115	275	2101
116	276	2089
117	278	2079
118	279	2071
119	281	2061
120	282	2049
121	282	2035
122	284	2026
123	285	2015
124	286	2007
125	288	2001
126	290	1993
127	291	1987
128	292	1978
129	294	1969
130	295	1962
131	297	1953
132	298	1944
133	299	1933
134	300	1925
135	301	1915
136	302	1906
137	303	1897
138	305	1890
139	306	1882
140	307	1873
141	308	1862
142	309	1853
143	310	1844
144	311	1835
145	312	1826
146	313	1817
147	314	1809
148	315	1801
149	316	1794
150	318	1788
151	319	1783
152	320	1775
153	321	1768
154	322	1760
155	324	1753
156	325	1747
157	326	1740
158	327	1733
159	328	1726
160	329	1718
161	331	1712
162	332	1706
163	333	1701
164	335	1695
165	336	1691
166	337	1684
167	338	1678
168	340	1673
169	341	1667
170	342	1661
171	343	1655
172	345	1650
173	346	1646
174	348	1642
175	349	1637
176	351	1633
177	352	1627
178	353	1621
179	354	1616
180	356	1610
181	357	1605
182	358	1600
183	360	1597
184	361	1592
185	362	1587
186	363	1581
187	364	1575
188	365	1570
189	367	1566
190	368	1562
191	370	1557
192	371	1552
193	372	1547
194	373	1542
195	375	1538
196	376	1534
197	377	1530
198	379	1527
199	381	1524
200	382	1520
201	383	1515
202	384	1510
203	386	1506
204	388	1506
205	390	1503
206	391	1499
207	402	1533
208	404	1531
209	406	1527
210	407	1524
211	409	1521
212	410	1517
213	412	1513
214	413	1510
215	415	1506
216	416	1503
217	418	1502
218	420	1499
219	422	1497
220	423	1493
221	425	1489
222	426	1486
223	428	1483
224	429	1480
225	431	1477
226	432	1473
227	433	1469
228	435	1467
229	437	1464
230	438	1461
231	440	1457
232	441	1454
233	443	1451
234	445	1449
235	446	1446
236	447	1442
237	449	1438
238	450	1434
239	451	1430
240	452	1426
241	454	1422
242	455	1418
243	456	1414
244	457	1409
245	458	1405
246	460	1402
247	461	1399
248	463	1396
249	464	1394
250	466	1390
251	467	1387
252	468	1383
253	469	1379
254	471	1376
255	472	1372
256	473	1368
257	474	1365
258	475	1361
259	477	1358
260	478	1354
261	479	1351
262	480	1347
263	481	1343
264	483	1340
265	484	1337
266	485	1333
267	487	1330
268	488	1327
269	489	1323
270	490	1319
271	491	1315
272	492	1312
273	494	1309
274	495	1306
275	496	1303
276	498	1300
277	499	1296
278	500	1292
279	501	1289
280	502	1286
281	503	1282
282	504	1279
283	506	1275
284	507	1273
285	509	1271
286	510	1267
287	511	1264
288	512	1260
289	513	1257
290	514	1253
291	515	1249
292	516	1246
293	517	1242
294	518	1238
295	519	1234
296	520	1231
297	521	1229
298	522	1226
299	524	1223
300	525	1220
301	526	1216
302	527	1213
303	528	1209
304	529	1206
305	530	1203
306	531	1199
307	532	1196
308	533	1192
309	534	1188
310	534	1185
311	535	1181
312	536	1178
313	537	1174
314	538	1171
315	539	1168
316	540	1164
317	541	1161
318	542	1157
319	543	1154
320	543	1150
321	544	1146
322	545	1143
323	546	1140
324	547	1136
325	548	1133
326	548	1129
327	549	1126
328	550	1123
329	551	1120
330	552	1117
331	553	1114
332	554	1110
333	555	1107
334	556	1104
335	557	1101
336	558	1098
337	559	1095
338	560	1093
339	561	1089
340	562	1086
341	563	1083
342	563	1080
343	564	1077
344	566	1074
345	567	1072
346	568	1069
347	569	1066
348	569	1063
349	570	1059
350	571	1056
351	572	1054
352	573	1051
353	574	1048
354	575	1045
355	576	1042
356	577	1039
357	578	1036
358	579	1033
359	580	1031
360	581	1028
361	582	1026
362	583	1023
363	584	1020
364	585	1017
365	586	1015
366	586	1012
367	587	1009
368	588	1007
369	589	1004
370	590	1001
371	591	999
372	592	996
373	593	993
374	594	991
375	595	988
376	596	986
377	597	983
378	598	981
379	599	978
380	600	976
381	601	973
382	602	971
383	603	968
384	604	965
385	605	963
386	606	960
387	607	958
388	608	955
389	609	953
390	610	951
391	612	949
392	613	946
393	614	944
394	615	942
395	616	939
396	616	937
397	617	934
398	618	932
399	619	929
400	620	927
401	621	925
402	622	922
403	623	920
404	624	917
405	625	915
406	626	912
407	627	910
408	628	907
409	629	905
410	630	903
411	631	900
412	631	898
413	632	895
414	633	893
415	634	890
416	635	888
417	636	886
418	637	884
419	638	881
420	639	879
421	640	877
422	641	875
423	642	872
424	643	870
425	644	868
426	645	865
427	645	863
428	646	860
429	647	858
430	648	856
431	649	853
432	650	851
433	651	849
434	651	846
435	652	844
436	653	842
437	654	840
438	655	837
439	656	835
440	657	833
441	658	831
442	659	828
443	660	826
444	660	824
445	661	821
446	662	819
447	663	817
448	664	814
449	665	812
450	665	810
451	666	808
452	667	806
453	668	803
454	669	801
455	670	799
456	671	797
457	671	795
458	672	792
459	673	790
460	674	788
461	675	786
462	676	784
463	676	781
464	677	779
465	678	777
466	679	775
467	680	773
468	680	770
469	681	768
470	682	766
471	683	764
472	684	762
473	685	760
474	686	758
475	687	756
476	687	754
477	688	752
478	689	749
479	690	747
480	691	745
481	691	743
482	692	741
483	693	739
484	694	737
485	695	735
486	696	733
487	696	731
488	697	729
489	698	727
490	699	725
491	700	723
492	701	721
493	702	719
494	702	717
495	703	715
496	704	713
497	705	711
498	706	708
499	707	707
500	707	705
501	708	703
502	709	701
503	710	699
504	711	697
505	712	695
506	712	693
507	713	691
508	714	689
509	715	687
510	716	685
511	717	683
